ID	Front	Back	Notes	Tags
kvartira	квартира	appartamento		casa-e-oggetti lez-5
kenguru	кенгуру	canguro		animali lez-13
kivi	киви	kiwi		cibo-e-bevande lez-3
kladbishche	кладбище	cimitero		luoghi-in-citta lez-21
klass	класс	aula		scuola-e-lingua lez-1
klassicheskij	классический	classico		aggettivi lez-19
klubnika	клубника	fragola		cibo-e-bevande lez-3
klyuch	ключ	chiave		casa-e-oggetti lez-1
kniga	книга	libro		scuola-e-lingua lez-1
kovior	ковёр	tappeto		casa-e-oggetti lez-14
kogda	когда	quando		pronomi-e-connettori lez-8
kozhanyj	кожаный	di pelle		aggettivi lez-19
kolbasa	колбаса	salame		cibo-e-bevande lez-10
kolgotki	колготки	calze		abbigliamento lez-3
kollektsioner	коллекционер	collezionista		professioni lez-13
komanda	команда	squadra		persone-e-famiglia sport-e-giochi lez-11 lez-21
komandirovka	командировка	trasferta		viaggi-e-trasporti lez-14
komnata	комната	stanza		casa-e-oggetti lez-13 lez-21
kompyuter	компьютер	computer		casa-e-oggetti lez-14
konechno	конечно	certo / naturalmente certamente		avverbi lez-4 lez-16
konchat	кончать	finire		verbi lez-9
korichnevyj	коричневый	marrone		aggettivi lez-17
korova	корова	mucca		animali lez-12 lez-17
korotkiy	короткий	corto		aggettivi lez-11
kort	корт	campo		natura-e-luoghi lez-4
kostyum	костюм	abito		abbigliamento lez-11
kot	кот	gatto		animali lez-1
kotoryy-chas	который час	che ora è		pronomi-e-connettori lez-8
kofe	кофе	caffè		cibo-e-bevande lez-3
kosheliok	кошелёк	portafogli		casa-e-oggetti lez-15
koshka	кошка	gatto		animali lez-12 lez-17
krasivo	красиво	bello		aggettivi lez-7
krasivyy	красивый	bello		aggettivi lez-11
krasnyj	красный	rosso		aggettivi lez-17
kreslo	кресло	poltrona		casa-e-oggetti lez-21
krovat	кровать	letto		casa-e-oggetti lez-13
krokodil	крокодил	coccodrillo		animali lez-17
krokodily	крокодилы	coccodrilli		animali lez-13
kto-ty-po-professii	кто ты по профессии?	che lavoro fai?		saluti-e-cortesia lez-2
kto-eto	кто это?	chi è questo?		pronomi-e-connettori lez-1
kukuruza	кукуруза	mais		cibo-e-bevande lez-3
kurit	курить	fumare		verbi lez-6
kuritsa	курица	pollo / gallina		animali cibo-e-bevande lez-3 lez-12
kurtka	куртка	giubbino		abbigliamento lez-11 lez-19
kuhnja	кухня	cucina		casa-e-oggetti lez-21
lampa	лампа	lampada		casa-e-oggetti lez-1
lapsha	лапша	noodles		cibo-e-bevande lez-9
lezhat	лежать	essere sdraiato		verbi lez-13
les	лес	foresta		natura-e-luoghi lez-10 lez-14
leto	лето	estate		tempo-e-date lez-14
liven	ливень	acquazzone		meteo-e-stagioni lez-14
limon	лимон	limone		cibo-e-bevande lez-3
litera	литера	lettera		scuola-e-lingua lez-2
lodka	лодка	barca		natura-e-luoghi lez-14
lozhka	ложка	cucchiaio		stoviglie-e-posate lez-4
loshad	лошадь	cavallo		animali lez-11 lez-12
luk	лук	cipolla		cibo-e-bevande lez-2
luchshe	лучше	meglio		avverbi lez-17 lez-21
lyzhi	лыжи	sci		abbigliamento lez-3
lyubimyy	любимый	preferito		gusti-e-preferenze lez-11
lyubit	любить	amare		verbi lez-10
lyudi	люди	persone		persone-e-famiglia lez-2
lyagushka	лягушка	rana		animali lez-12
liogkiy	лёгкий	facile		aggettivi lez-11
magazin	магазин	negozio		luoghi-in-citta lez-4
may	май	maggio		tempo-e-date lez-14
makarony	макароны	pasta		cibo-e-bevande lez-9
malenkiy	маленький	piccolo		aggettivi lez-11
malina	малина	lampone		cibo-e-bevande lez-3
malo	мало	poco		avverbi lez-7
malchik	мальчик	bambino		persone-e-famiglia lez-2
mama	мама	mamma		persone-e-famiglia lez-3
mango	манго	mango		cibo-e-bevande lez-3
mart	март	marzo		tempo-e-date lez-14
maslo	масло	burro		cibo-e-bevande lez-14
mat	мать	madre		persone-e-famiglia lez-3
mashina	машина	macchina		viaggi-e-trasporti lez-1
mebel	мебель	mobili		casa-e-oggetti lez-21
medved	медведь	orso		animali lez-17
medlenno	медленно	lentamente		avverbi lez-7
medlennyy	медленный	lento		aggettivi lez-11
menedzher	менеджер	manager		professioni lez-2
menya	меня	me		pronomi-e-connettori lez-2
menja interesuet	меня интересует	mi interessa		gusti-e-preferenze lez-20
menja interesujut	меня интересуют	mi interessano		gusti-e-preferenze lez-20
mesto	место	luogo		luoghi-in-citta lez-21
mesyats	месяц	mese		tempo-e-date lez-8
mesyats-nazad	месяц назад	un mese fa		tempo-e-date lez-12
mechtat	мечтать	sognare		verbi lez-14
mikrovolnovka	микроволновка	microonde		casa-e-oggetti lez-21
mir	мир	mondo		natura-e-luoghi lez-20
mne-nravitsya	мне нравится	mi piace		gusti-e-preferenze lez-9
mnogo	много	molto		avverbi lez-7
mozhet-byt	может быть	forse		pronomi-e-connettori lez-7 lez-10 lez-12
mozhno	можно	si può		espressioni-utili lez-18
molodets	молодец	bravo		saluti-e-cortesia lez-1
molodoy	молодой	giovane		aggettivi lez-11
molchat	молчать	tacere		verbi lez-12
monah	монах	monaco		arte-e-cultura lez-18
more	море	mare		natura-e-luoghi lez-3
morkov	морковь	carota		cibo-e-bevande lez-3
morozhenoe	мороженое	gelato		cibo-e-bevande lez-5
most	мост	ponte		natura-e-luoghi lez-10
moch	мочь	potere		verbi lez-18
muzh	муж	marito		persone-e-famiglia lez-3
muzhskoj	мужской	maschile		aggettivi lez-19
muzhchina	мужчина	uomo		persone-e-famiglia lez-2
multfilm	мультфильм	cartone animato		arte-e-cultura lez-15
musornoe-vedro	мусорное ведро	bidone della spazzatura		casa-e-oggetti lez-10
my	мы	noi		pronomi-e-connettori lez-2
mylo	мыло	sapone		casa-e-oggetti lez-21
mysh	мышь	topo		animali lez-17
myaso	мясо	carne		cibo-e-bevande lez-2 lez-3
myach	мяч	palla		casa-e-oggetti lez-1
nado	надо	si deve bisogna		espressioni-utili lez-18
nazyvatsja	называться	chiamarsi		verbi lez-15
nam-nravitsya	нам нравится	ci piace		gusti-e-preferenze lez-9
napitki	напитки	bevande		cibo-e-bevande lez-7
napitok	напиток	bevanda		cibo-e-bevande lez-7
narechiya	наречия	avverbi		scuola-e-lingua lez-7
nas	нас	noi		pronomi-e-connettori lez-2
nauka	наука	scienza		scuola-e-lingua lez-15
naushniki	наушники	cuffie		casa-e-oggetti lez-3 lez-17
nahoditsja	находиться	trovarsi		verbi lez-21
nachinat	начинать	iniziare		verbi lez-9
ne-za-chto	не за что	di nulla		saluti-e-cortesia lez-4
nebo	небо	cielo		natura-e-luoghi lez-10
nedavno	недавно	da poco tempo		orari-e-frequenza lez-8 lez-12
nedaleko	недалеко	vicino		avverbi lez-4
nedelya	неделя	settimana		tempo-e-date lez-10
nelzja	нельзя	è vietato non si può		espressioni-utili lez-18
nemnogo	немного	un po'		avverbi lez-7
neobychnyj	необычный	particolare insolito		aggettivi lez-21
neploho	неплохо	non c'è male		avverbi lez-2
nepravda	неправда	falso		pronomi-e-connettori lez-9
net	нет	no		pronomi-e-connettori lez-1
neudachnik	неудачник	perdente		persone-e-famiglia lez-15
neudobnyj	неудобный	scomodo		aggettivi lez-21
neujutnyj	неуютный	inospitale		aggettivi lez-21
ni-puha-ni-pera	ни пуха ни пера	in bocca al lupo		saluti-e-cortesia lez-8
nikogda	никогда	mai		avverbi lez-6 lez-8
nichego	ничего	niente		pronomi-e-connettori lez-2
no	но	ma		pronomi-e-connettori lez-5
novosti	новости	notizie		scuola-e-lingua lez-6
novyy	новый	nuovo		aggettivi lez-11
noga	нога	gamba		corpo lez-10
nogi	ноги	gambe		corpo lez-10
nozh	нож	coltello		stoviglie-e-posate lez-4
nozhnitsy	ножницы	forbici		casa-e-oggetti lez-3
normalno	нормально	normale		avverbi lez-2
nosit	носить	indossare		verbi lez-19
noski	носки	calze		abbigliamento lez-6
noch	ночь	notte		tempo-e-date lez-8
noyabr	ноябрь	novembre		tempo-e-date lez-14
nuzhdatsya	нуждаться	avere bisogno		verbi lez-13
nuzhno	нужно	c'è bisogno bisogna		espressioni-utili lez-18
nut	нут	ceci		cibo-e-bevande lez-3
obed	обед	pranzo		cibo-e-bevande lez-6 lez-10
obedat	обедать	pranzare		verbi lez-6
obezjana	обезьяна	scimmia		animali lez-17
oblako	облако	nuvola		natura-e-luoghi lez-14
oblachno	облачно	nuvoloso		avverbi lez-14
obmanyvat	обманывать	imbrogliare tradire		verbi lez-15
